Index	xSource	ySource	xTarget	yTarget
    0	    495	    480	    340	    275
    1	    549	    395	    425	    214
    2	    678	    443	    692	    319
    3	    753	    483	    810	    381
    4	    560	    519	    437	    348
    5	    471	    360	    350	    174
    6	    449	    578	    246	    375
    7	    735	    989	    675	    939
    8	    1041	    1002	    1350	    954
    9	    1096	    808	    1343	    764
    10	    1060	    531	    1266	    409
    11	    1067	    913	    1341	    859
    12	    1032	    906	    1298	    869
    13	    1006	    987	    1296	    951
    14	    751	    722	    710	    679
    15	    507	    580	    308	    395
    16	    534	    533	    369	    359
    17	    736	    850	    703	    821
    18	    693	    853	    640	    815
    19	    700	    1045	    636	    984
    20	    667	    1036	    599	    970
    21	    981	    1030	    1265	    1012
    22	    1011	    1042	    1320	    1019
    23	    1037	    730	    1292	    702
    24	    954	    743	    1210	    696
    25	    924	    712	    1125	    615
    26	    628	    618	    561	    504
    27	    678	    716	    616	    658
    28	    958	    485	    1125	    371
    29	    926	    579	    1113	    440
    30	    835	    728	    937	    676
    31	    697	    587	    711	    487
    32	    1079	    608	    1331	    525
